team,spell_no,manager,start_date,end_date,matches,stand_in_matches,first_season,last_season,change_timing,wiki_row,wiki_prev_manager,prev_departure,position_at_vacancy,appointment_date,wiki_verified,appointment_type
Burnley,2,Mike Jackson,2022-04-17,2022-05-22,8,0,2021/22,2021/22,mid_season,90,Sean Dyche,sacked,18th,2022-04-15,True,caretaker
Burnley,3,Vincent Kompany,2023-08-11,2024-05-19,38,0,2023/24,2023/24,between_seasons,,,,,,False,appointed_outside_pl
Burnley,4,Scott Parker,2025-08-16,2026-04-22,34,0,2025/26,2025/26,between_seasons,,,,,,False,appointed_outside_pl
Burnley,5,Mike Jackson,2026-05-01,2026-05-24,4,0,2025/26,2025/26,mid_season,148,Scott Parker,mutual_consent,19th,2026-04-30,True,caretaker
Cardiff,1,Neil Warnock,2018-08-11,2019-05-12,38,0,2018/19,2018/19,,,,,,,False,
Chelsea,1,José Mourinho,2014-08-18,2015-12-14,54,0,2014/15,2015/16,,,,,,,False,
Chelsea,2,Steve Holland,2015-12-19,2015-12-19,1,0,2015/16,2015/16,mid_season,,,,,,False,caretaker
Chelsea,3,Guus Hiddink,2015-12-26,2016-05-15,21,0,2015/16,2015/16,mid_season,18,José Mourinho,sacked,16th,2015-12-19,True,permanent
Chelsea,4,Antonio Conte,2016-08-15,2018-05-13,76,0,2016/17,2017/18,between_seasons,26,Guus Hiddink,end_of_caretaker,Pre-season,2016-07-01,True,permanent
Chelsea,5,Maurizio Sarri,2018-08-11,2019-05-12,38,0,2018/19,2018/19,between_seasons,53,Antonio Conte,sacked,Pre-season,2018-07-14,True,permanent
Chelsea,6,Frank Lampard,2019-08-11,2021-01-19,57,0,2019/20,2020/21,between_seasons,61,Maurizio Sarri,left_for_new_job,Pre-season,2019-07-04,True,permanent
Chelsea,7,Thomas Tuchel,2021-01-27,2022-09-03,63,0,2020/21,2022/23,mid_season,71,Frank Lampard,sacked,9th,2021-01-26,True,permanent
Chelsea,8,Graham Potter,2022-10-01,2023-04-01,22,0,2022/23,2022/23,mid_season,93,Thomas Tuchel,sacked,6th,2022-09-08,True,permanent
Chelsea,9,Bruno Saltor,2023-04-04,2023-04-04,1,0,2022/23,2022/23,mid_season,108,Graham Potter,sacked,11th,2023-04-02,True,caretaker
Chelsea,10,Frank Lampard,2023-04-08,2023-05-28,9,0,2022/23,2022/23,mid_season,109,Bruno Saltor,end_of_caretaker,11th,2023-04-06,True,caretaker
Chelsea,11,Mauricio Pochettino,2023-08-13,2024-05-19,38,0,2023/24,2023/24,between_seasons,113,Frank Lampard,end_of_caretaker,Pre-season,2023-05-29,True,permanent
Chelsea,12,Enzo Maresca,2024-08-18,2025-12-30,57,0,2024/25,2025/26,between_seasons,123,Mauricio Pochettino,mutual_consent,Pre-season,2024-06-03,True,permanent
Chelsea,13,Calum McFarlane,2026-01-04,2026-01-07,2,0,2025/26,2025/26,mid_season,,,,,,False,caretaker
Chelsea,14,Liam Rosenior,2026-01-17,2026-04-21,13,0,2025/26,2025/26,mid_season,142,Enzo Maresca,resigned,5th,2026-01-08,True,permanent
Chelsea,15,Calum McFarlane,2026-05-04,2026-05-24,4,0,2025/26,2025/26,mid_season,147,Liam Rosenior,sacked,7th,2026-04-22,True,caretaker
Crystal Palace,1,Keith Millen,2014-08-16,2014-08-23,2,0,2014/15,2014/15,,,,,,,False,
Crystal Palace,2,Neil Warnock,2014-08-30,2014-12-26,16,0,2014/15,2014/15,mid_season,3,Tony Pulis,mutual_consent,Pre-season,2014-08-27,True,permanent
Crystal Palace,3,Keith Millen,2014-12-28,2015-01-01,2,0,2014/15,2014/15,mid_season,,,,,,False,caretaker
Crystal Palace,4,Alan Pardew,2015-01-10,2016-12-17,73,0,2014/15,2016/17,mid_season,4,Neil Warnock,sacked,18th,2015-01-02,True,permanent
Crystal Palace,5,Sam Allardyce,2016-12-26,2017-05-21,21,0,2016/17,2016/17,mid_season,32,Alan Pardew,sacked,17th,2016-12-23,True,permanent
Crystal Palace,6,Frank de Boer,2017-08-12,2017-09-10,4,0,2017/18,2017/18,between_seasons,38,Sam Allardyce,resigned,Pre-season,2017-06-26,True,permanent
Crystal Palace,7,Roy Hodgson,2017-09-16,2021-05-23,148,0,2017/18,2020/21,mid_season,40,Frank de Boer,sacked,19th,2017-09-12,True,permanent
Crystal Palace,8,Patrick Vieira,2021-08-14,2023-03-15,65,0,2021/22,2022/23,between_seasons,74,Roy Hodgson,end_of_contract,Pre-season,2021-07-04,True,permanent
Crystal Palace,9,Patrick McCarthy,2023-03-19,2023-03-19,1,0,2022/23,2022/23,mid_season,104,Patrick Vieira,sacked,12th,2023-03-17,True,caretaker
Crystal Palace,10,Roy Hodgson,2023-04-01,2024-02-12,34,0,2022/23,2023/24,mid_season,105,Paddy McCarthy,end_of_caretaker,12th,2023-03-21,True,caretaker_made_permanent
Crystal Palace,11,Ray Lewington,2024-02-19,2024-02-19,1,0,2023/24,2023/24,mid_season,,,,,,False,caretaker
Crystal Palace,12,Oliver Glasner,2024-02-24,2026-05-24,89,0,2023/24,2025/26,mid_season,119,Roy Hodgson,resigned,16th,2024-02-19,True,permanent
Everton,1,Roberto Martínez,2014-08-16,2016-05-11,75,0,2014/15,2015/16,,,,,,,False,
Everton,2,David Unsworth,2016-05-15,2016-05-15,1,0,2015/16,2015/16,mid_season,22,Roberto Martínez,sacked,12th,2016-05-12,True,caretaker
Everton,3,Ronald Koeman,2016-08-13,2017-10-22,47,0,2016/17,2017/18,between_seasons,25,David Unsworth Joe Royle,end_of_caretaker,Pre-season,2016-06-14,True,permanent
Everton,4,David Unsworth,2017-10-29,2017-11-29,5,0,2017/18,2017/18,mid_season,,,,,,False,caretaker
Everton,5,Sam Allardyce,2017-12-02,2018-05-13,24,0,2017/18,2017/18,mid_season,42,Ronald Koeman,sacked,18th,2017-11-30,True,permanent
Everton,6,Marco Silva,2018-08-11,2019-12-04,53,0,2018/19,2019/20,between_seasons,51,Sam Allardyce,sacked,Pre-season,2018-05-31,True,permanent
Everton,7,Duncan Ferguson,2019-12-07,2019-12-21,3,0,2019/20,2019/20,mid_season,,,,,,False,caretaker
Everton,8,Carlo Ancelotti,2019-12-26,2021-05-23,58,0,2019/20,2020/21,mid_season,67,Marco Silva,sacked,18th,2019-12-21,True,permanent
Everton,9,Rafael Benítez,2021-08-14,2022-01-15,19,0,2021/22,2021/22,between_seasons,76,Carlo Ancelotti,left_for_new_job,Pre-season,2021-06-30,True,permanent
Everton,10,Duncan Ferguson,2022-01-22,2022-01-22,1,0,2021/22,2021/22,mid_season,86,Rafael Benítez,sacked,15th,2022-01-18,True,caretaker
Everton,11,Frank Lampard,2022-02-08,2023-01-21,38,0,2021/22,2022/23,mid_season,88,Duncan Ferguson,end_of_caretaker,16th,2022-01-31,True,permanent
Everton,12,Sean Dyche,2023-02-04,2025-01-04,75,1,2022/23,2024/25,mid_season,100,Frank Lampard,sacked,19th,2023-01-30,True,permanent
Everton,13,David Moyes,2025-01-15,2026-05-24,57,0,2024/25,2025/26,mid_season,134,Leighton Baines,end_of_caretaker,16th,2025-01-11,True,permanent
Fulham,1,Slavisa Jokanovic,2018-08-11,2018-11-11,12,0,2018/19,2018/19,,,,,,,False,
Fulham,2,Claudio Ranieri,2018-11-24,2019-02-27,16,0,2018/19,2018/19,mid_season,54,Slaviša Jokanović,sacked,20th,2018-11-14,True,permanent
Fulham,3,Scott Parker,2019-03-03,2021-05-23,48,0,2018/19,2020/21,mid_season,59,Claudio Ranieri,sacked,19th,2019-02-28,True,permanent
Fulham,4,Marco Silva,2022-08-06,2026-05-24,152,0,2022/23,2025/26,between_seasons,,,,,,False,appointed_outside_pl
Huddersfield,1,David Wagner,2017-08-12,2019-01-12,60,0,2017/18,2018/19,,,,,,,False,
Huddersfield,2,Mark Hudson,2019-01-20,2019-01-20,1,0,2018/19,2018/19,mid_season,,,,,,False,caretaker
Huddersfield,3,Jan Siewert,2019-01-29,2019-05-12,15,0,2018/19,2018/19,mid_season,57,David Wagner,mutual_consent,20th,2019-01-21,True,permanent
Hull,1,Steve Bruce,2014-08-16,2015-05-24,38,0,2014/15,2014/15,,,,,,,False,
Hull,2,Mike Phelan,2016-08-13,2017-01-02,20,0,2016/17,2016/17,between_seasons,29,Steve Bruce,resigned,Pre-season,2016-07-22,True,permanent
Hull,3,Marco Silva,2017-01-14,2017-05-21,18,0,2016/17,2016/17,mid_season,34,Mike Phelan,sacked,20th,2017-01-05,True,permanent
Ipswich,1,Kieran McKenna,2024-08-17,2025-05-25,38,0,2024/25,2024/25,,,,,,,False,
Leeds,1,Marcelo Bielsa,2020-09-12,2022-02-26,64,0,2020/21,2021/22,,,,,,,False,
Leeds,2,Jesse Marsch,2022-03-05,2023-02-05,32,0,2021/22,2022/23,mid_season,89,Marcelo Bielsa,sacked,16th,2022-02-28,True,permanent
Leeds,3,Michael Skubala,2023-02-08,2023-02-18,3,0,2022/23,2022/23,mid_season,101,Jesse Marsch,sacked,17th,2023-02-06,True,caretaker
Leeds,4,Javi Gracia,2023-02-25,2023-04-30,11,0,2022/23,2022/23,mid_season,103,Michael Skubala,end_of_caretaker,19th,2023-02-21,True,permanent
Leeds,5,Sam Allardyce,2023-05-06,2023-05-28,4,0,2022/23,2022/23,mid_season,112,Javi Gracia,sacked,17th,2023-05-03,True,permanent
Leeds,6,Daniel Farke,2025-08-18,2026-05-24,38,0,2025/26,2025/26,between_seasons,,,,,,False,appointed_outside_pl
Leicester,1,Nigel Pearson,2014-08-16,2015-05-24,38,0,2014/15,2014/15,,,,,,,False,
Leicester,2,Claudio Ranieri,2015-08-08,2017-02-12,63,0,2015/16,2016/17,between_seasons,13,Nigel Pearson,sacked,Pre-season,2015-07-13,True,permanent
Leicester,3,Craig Shakespeare,2017-02-27,2017-10-16,21,0,2016/17,2017/18,mid_season,35,Claudio Ranieri,sacked,17th,2017-03-12,True,caretaker_made_permanent
Leicester,4,Michael Appleton,2017-10-21,2017-10-21,1,0,2017/18,2017/18,mid_season,,,,,,False,caretaker
Leicester,5,Claude Puel,2017-10-29,2019-02-23,56,0,2017/18,2018/19,mid_season,41,Craig Shakespeare,sacked,18th,2017-10-25,True,permanent
Leicester,6,Mike Stowell,2019-02-26,2019-02-26,1,0,2018/19,2018/19,mid_season,,,,,,False,caretaker
Leicester,7,Brendan Rodgers,2019-03-03,2023-04-01,152,0,2018/19,2022/23,mid_season,58,Claude Puel,sacked,12th,2019-02-26,True,permanent
Leicester,8,Adam Sadler,2023-04-04,2023-04-08,2,0,2022/23,2022/23,mid_season,107,Brendan Rodgers,mutual_consent,19th,2023-04-04,True,caretaker
Leicester,9,Dean Smith,2023-04-15,2023-05-28,8,0,2022/23,2022/23,mid_season,110,Adam Sadler,end_of_caretaker,19th,2023-04-10,True,permanent
Leicester,10,Steve Cooper,2024-08-19,2024-11-23,12,0,2024/25,2024/25,between_seasons,124,Enzo Maresca,left_for_new_job,Pre-season,2024-06-20,True,permanent
Leicester,11,Ben Dawson,2024-11-30,2024-11-30,1,0,2024/25,2024/25,mid_season,127,Steve Cooper,sacked,16th,2024-11-24,True,caretaker
Leicester,12,Ruud van Nistelrooy,2024-12-03,2025-05-25,25,0,2024/25,2024/25,mid_season,128,Ben Dawson,end_of_caretaker,16th,2024-12-01,True,permanent
Liverpool,1,Brendan Rodgers,2014-08-17,2015-10-04,46,0,2014/15,2015/16,,,,,,,False,
Liverpool,2,Jürgen Klopp,2015-10-17,2024-05-19,334,0,2015/16,2023/24,mid_season,15,Brendan Rodgers,sacked,10th,2015-10-08,True,permanent
Liverpool,3,Arne Slot,2024-08-17,2026-05-24,76,0,2024/25,2025/26,between_seasons,121,Jürgen Klopp,resigned,Pre-season,2024-06-01,True,permanent
Luton,1,Rob Edwards,2023-08-12,2024-05-19,38,0,2023/24,2023/24,,,,,,,False,
Man City,1,Manuel Pellegrini,2014-08-17,2016-05-15,76,0,2014/15,2015/16,,,,,,,False,
Man City,2,Pep Guardiola,2016-08-13,2026-05-24,380,0,2016/17,2025/26,between_seasons,27,Manuel Pellegrini,end_of_contract,Pre-season,2016-07-01,True,permanent
Man United,1,Louis van Gaal,2014-08-16,2016-05-17,76,0,2014/15,2015/16,,,,,,,False,
Man United,2,José Mourinho,2016-08-14,2018-12-16,93,0,2016/17,2018/19,between_seasons,23,Louis van Gaal,sacked,Pre-season,2016-05-27,True,permanent
Man United,3,Ole Gunnar Solskjær,2018-12-22,2021-11-20,109,0,2018/19,2021/22,mid_season,56,José Mourinho,sacked,6th,2018-12-19,True,permanent
Man United,4,Michael Carrick,2021-11-28,2021-12-02,2,0,2021/22,2021/22,mid_season,84,Ole Gunnar Solskjær,sacked,7th,2021-11-21,True,caretaker
Man United,5,Ralf Rangnick,2021-12-05,2022-05-22,24,0,2021/22,2021/22,mid_season,85,Michael Carrick,end_of_caretaker,7th,2021-12-03,True,caretaker
Man United,6,Erik ten Hag,2022-08-07,2024-10-27,85,0,2022/23,2024/25,between_seasons,91,Ralf Rangnick,end_of_caretaker,Pre-season,2022-05-23,True,permanent
Man United,7,Ruud van Nistelrooy,2024-11-03,2024-11-10,2,0,2024/25,2024/25,mid_season,125,Erik ten Hag,sacked,14th,2024-10-28,True,caretaker
Man United,8,Rúben Amorim,2024-11-24,2026-01-04,47,0,2024/25,2025/26,mid_season,126,Ruud van Nistelrooy,end_of_caretaker,13th,2024-11-11,True,permanent
Man United,9,Darren Fletcher,2026-01-07,2026-01-07,1,0,2025/26,2025/26,mid_season,,,,,,False,caretaker
Man United,10,Michael Carrick,2026-01-17,2026-05-24,17,0,2025/26,2025/26,mid_season,143,Ruben Amorim,sacked,6th,2026-01-13,True,permanent
Middlesbrough,1,Aitor Karanka,2016-08-13,2017-03-04,27,0,2016/17,2016/17,,,,,,,False,
Middlesbrough,2,Steve Agnew,2017-03-19,2017-05-21,11,0,2016/17,2016/17,mid_season,36,Aitor Karanka,mutual_consent,19th,2017-03-16,True,caretaker
Newcastle,1,Alan Pardew,2014-08-17,2014-12-28,19,0,2014/15,2014/15,,,,,,,False,
Newcastle,2,John Carver,2015-01-01,2015-05-24,19,0,2014/15,2014/15,mid_season,6,Alan Pardew,left_for_new_job,10th,2015-01-26,True,caretaker_made_permanent
Newcastle,3,Steve McClaren,2015-08-09,2016-03-05,28,0,2015/16,2015/16,between_seasons,12,John Carver,sacked,Pre-season,2015-06-10,True,permanent
Newcastle,4,Rafael Benítez,2016-03-14,2019-05-12,86,0,2015/16,2018/19,mid_season,20,Steve McClaren,sacked,19th,2016-03-11,True,permanent
Newcastle,5,Steve Bruce,2019-08-11,2021-10-17,84,0,2019/20,2021/22,between_seasons,62,Rafael Benítez,end_of_contract,Pre-season,2019-07-17,True,permanent
Newcastle,6,Graeme Jones,2021-10-23,2021-11-06,3,0,2021/22,2021/22,mid_season,79,Steve Bruce,mutual_consent,19th,2021-10-20,True,caretaker
Newcastle,7,Eddie Howe,2021-11-20,2026-05-24,179,0,2021/22,2025/26,mid_season,83,Graeme Jones,end_of_caretaker,19th,2021-11-08,True,permanent
Norwich,1,Alex Neil,2015-08-08,2016-05-15,38,0,2015/16,2015/16,,,,,,,False,
Norwich,2,Daniel Farke,2019-08-09,2021-11-06,49,0,2019/20,2021/22,between_seasons,,,,,,False,appointed_outside_pl
Norwich,3,Dean Smith,2021-11-20,2022-05-22,27,0,2021/22,2021/22,mid_season,81,Daniel Farke,sacked,20th,2021-11-15,True,permanent
Nott'm Forest,1,Steve Cooper,2022-08-06,2023-12-15,55,0,2022/23,2023/24,,,,,,,False,
Nott'm Forest,2,Nuno Espírito Santo,2023-12-23,2025-08-31,62,2,2023/24,2025/26,mid_season,118,Steve Cooper,sacked,17th,2023-12-20,True,permanent
Nott'm Forest,3,Ange Postecoglou,2025-09-13,2025-10-18,5,0,2025/26,2025/26,mid_season,138,Nuno Espírito Santo,sacked,10th,2025-09-09,True,permanent
Nott'm Forest,4,Sean Dyche,2025-10-26,2026-02-11,18,0,2025/26,2025/26,mid_season,140,Ange Postecoglou,sacked,18th,2025-10-21,True,permanent
Nott'm Forest,5,Vítor Pereira,2026-02-22,2026-05-24,12,0,2025/26,2025/26,mid_season,145,Sean Dyche,sacked,17th,2026-02-15,True,permanent
QPR,1,Harry Redknapp,2014-08-16,2015-01-31,23,0,2014/15,2014/15,,,,,,,False,
QPR,2,Chris Ramsey,2015-02-07,2015-05-24,15,0,2014/15,2014/15,mid_season,7,Harry Redknapp,resigned,19th,2015-02-12,True,caretaker_made_permanent
Sheffield United,1,Chris Wilder,2019-08-10,2021-03-06,66,0,2019/20,2020/21,,,,,,,False,
Sheffield United,2,Paul Heckingbottom,2021-03-14,2023-12-02,24,0,2020/21,2023/24,mid_season,72,Chris Wilder,sacked,20th,2021-03-13,True,caretaker_made_permanent
Sheffield United,3,Chris Wilder,2023-12-06,2024-05-19,24,0,2023/24,2023/24,mid_season,117,Paul Heckingbottom,sacked,20th,2023-12-05,True,permanent
Southampton,1,Ronald Koeman,2014-08-17,2016-05-15,76,0,2014/15,2015/16,,,,,,,False,
Southampton,2,Claude Puel,2016-08-13,2017-05-21,38,0,2016/17,2016/17,between_seasons,24,Ronald Koeman,left_for_new_job,Pre-season,2016-06-30,True,permanent
Southampton,3,Mauricio Pellegrino,2017-08-12,2018-03-10,30,0,2017/18,2017/18,between_seasons,39,Claude Puel,sacked,Pre-season,2017-06-23,True,permanent
Southampton,4,Mark Hughes,2018-03-31,2018-12-01,22,0,2017/18,2018/19,mid_season,48,Mauricio Pellegrino,sacked,17th,2018-03-14,True,permanent
Southampton,5,Kelvin Davis,2018-12-05,2018-12-05,1,0,2018/19,2018/19,mid_season,,,,,,False,caretaker
Southampton,6,Ralph Hasenhüttl,2018-12-08,2022-11-06,151,0,2018/19,2022/23,mid_season,55,Mark Hughes,sacked,18th,2018-12-05,True,permanent
Southampton,7,Nathan Jones,2022-11-12,2023-02-11,8,0,2022/23,2022/23,mid_season,98,Ralph Hasenhüttl,sacked,18th,2022-11-10,True,permanent
Southampton,8,Rubén Sellés,2023-02-18,2023-05-28,16,0,2022/23,2022/23,mid_season,102,Nathan Jones,sacked,20th,2023-02-12,True,permanent
Southampton,9,Russell Martin,2024-08-17,2024-12-15,16,0,2024/25,2024/25,between_seasons,,,,,,False,appointed_outside_pl
Southampton,10,Simon Rusk,2024-12-22,2024-12-22,1,0,2024/25,2024/25,mid_season,130,Russell Martin,sacked,20th,2024-12-15,True,caretaker
Southampton,11,Ivan Juric,2024-12-26,2025-04-06,14,0,2024/25,2024/25,mid_season,131,Simon Rusk,end_of_caretaker,20th,2024-12-22,True,permanent
Southampton,12,Simon Rusk,2025-04-12,2025-05-25,7,0,2024/25,2024/25,mid_season,135,Ivan Jurić,mutual_consent,20th,2025-04-07,True,caretaker
Stoke,1,Mark Hughes,2014-08-16,2018-01-01,136,0,2014/15,2017/18,,,,,,,False,
Stoke,2,Eddie Niedzwiecki,2018-01-15,2018-01-15,1,0,2017/18,2017/18,mid_season,,,,,,False,caretaker
Stoke,3,Paul Lambert,2018-01-20,2018-05-13,15,0,2017/18,2017/18,mid_season,46,Mark Hughes,sacked,18th,2018-01-15,True,permanent
Sunderland,1,Gustavo Poyet,2014-08-16,2015-03-14,29,0,2014/15,2014/15,,,,,,,False,
Sunderland,2,Dick Advocaat,2015-03-21,2015-10-03,17,0,2014/15,2015/16,mid_season,9,Gus Poyet,sacked,17th,2015-03-17,True,permanent
Sunderland,3,Sam Allardyce,2015-10-17,2016-05-15,30,0,2015/16,2015/16,mid_season,14,Dick Advocaat,resigned,19th,2015-10-09,True,permanent
Sunderland,4,David Moyes,2016-08-13,2017-05-21,38,0,2016/17,2016/17,between_seasons,30,Sam Allardyce,left_for_new_job,Pre-season,2016-07-23,True,permanent
Sunderland,5,Régis Le Bris,2025-08-16,2026-05-24,38,0,2025/26,2025/26,between_seasons,,,,,,False,appointed_outside_pl
Swansea,1,Garry Monk,2014-08-16,2015-12-05,53,0,2014/15,2015/16,,,,,,,False,
Swansea,2,Alan Curtis,2015-12-12,2016-01-18,7,0,2015/16,2015/16,mid_season,17,Garry Monk,sacked,15th,2016-01-07,True,caretaker_made_permanent
Swansea,3,Francesco Guidolin,2016-01-24,2016-10-01,23,3,2015/16,2016/17,mid_season,19,Alan Curtis,end_of_caretaker,18th,2016-01-18,True,permanent
Swansea,4,Bob Bradley,2016-10-15,2016-12-26,11,0,2016/17,2016/17,mid_season,31,Francesco Guidolin,sacked,17th,2016-10-03,True,permanent
Swansea,5,Alan Curtis,2016-12-31,2017-01-03,2,0,2016/17,2016/17,mid_season,,,,,,False,caretaker
Swansea,6,Paul Clement,2017-01-14,2017-12-18,36,0,2016/17,2017/18,mid_season,33,Bob Bradley,sacked,19th,2017-01-02,True,permanent
Swansea,7,Leon Britton,2017-12-23,2017-12-26,2,0,2017/18,2017/18,mid_season,,,,,,False,caretaker
Swansea,8,Carlos Carvalhal,2017-12-30,2018-05-13,18,0,2017/18,2017/18,mid_season,45,Paul Clement,sacked,20th,2017-12-28,True,permanent
Tottenham,1,Mauricio Pochettino,2014-08-16,2019-11-09,202,0,2014/15,2019/20,,,,,,,False,
Tottenham,2,José Mourinho,2019-11-23,2021-04-16,58,0,2019/20,2020/21,mid_season,64,Mauricio Pochettino,sacked,14th,2019-11-20,True,permanent
Tottenham,3,Ryan Mason,2021-04-21,2021-05-23,6,0,2020/21,2020/21,mid_season,73,José Mourinho,sacked,7th,2021-04-19,True,caretaker
Tottenham,4,Nuno Espírito Santo,2021-08-15,2021-10-30,10,0,2021/22,2021/22,between_seasons,77,Ryan Mason,end_of_caretaker,Pre-season,2021-06-30,True,permanent
Tottenham,5,Antonio Conte,2021-11-07,2023-03-18,56,0,2021/22,2022/23,mid_season,80,Nuno Espírito Santo,sacked,8th,2021-11-02,True,permanent
Tottenham,6,Cristian Stellini,2023-04-03,2023-04-23,4,0,2022/23,2022/23,mid_season,106,Antonio Conte,mutual_consent,4th,2023-03-26,True,caretaker
Tottenham,7,Ryan Mason,2023-04-27,2023-05-28,6,0,2022/23,2022/23,mid_season,111,Cristian Stellini (interim),sacked,5th,2023-04-24,True,caretaker
Tottenham,8,Ange Postecoglou,2023-08-13,2025-05-25,76,0,2023/24,2024/25,between_seasons,114,Ryan Mason,end_of_caretaker,Pre-season,2023-06-06,True,permanent
Tottenham,9,Thomas Frank,2025-08-16,2026-02-10,26,0,2025/26,2025/26,between_seasons,136,Ange Postecoglou,sacked,Pre-season,2025-06-12,True,permanent
Tottenham,10,Igor Tudor,2026-02-22,2026-03-22,5,0,2025/26,2025/26,mid_season,144,Thomas Frank,sacked,16th,2026-02-14,True,permanent
Tottenham,11,Roberto De Zerbi,2026-04-12,2026-05-24,7,0,2025/26,2025/26,mid_season,146,Igor Tudor,mutual_consent,17th,2026-03-31,True,permanent
Watford,1,Quique Sánchez Flores,2015-08-08,2016-05-15,38,0,2015/16,2015/16,,,,,,,False,
Watford,2,Walter Mazzarri,2016-08-13,2017-05-21,38,0,2016/17,2016/17,between_seasons,28,Quique Sánchez Flores,mutual_consent,Pre-season,2016-07-01,True,permanent
Watford,3,Marco Silva,2017-08-12,2018-01-20,24,0,2017/18,2017/18,between_seasons,37,Walter Mazzarri,mutual_consent,Pre-season,2017-05-27,True,permanent
Watford,4,Javi Gracia,2018-01-31,2019-08-31,56,0,2017/18,2019/20,mid_season,47,Marco Silva,sacked,10th,2018-01-21,True,permanent
Watford,5,Quique Sánchez Flores,2019-09-15,2019-11-30,10,0,2019/20,2019/20,mid_season,63,Javi Gracia,sacked,20th,2019-09-07,True,permanent
Watford,6,Hayden Mullins,2019-12-04,2019-12-07,2,0,2019/20,2019/20,mid_season,,,,,,False,caretaker
Watford,7,Nigel Pearson,2019-12-14,2020-07-17,20,0,2019/20,2019/20,mid_season,66,Quique Sánchez Flores,sacked,20th,2019-12-06,True,permanent
Watford,8,Hayden Mullins,2020-07-21,2020-07-26,2,0,2019/20,2019/20,mid_season,69,Nigel Pearson,sacked,17th,2020-07-19,True,caretaker
Watford,9,Xisco Muñoz,2021-08-14,2021-10-02,7,0,2021/22,2021/22,between_seasons,,,,,,False,caretaker
